00100008 start
00100240 mwInit
00100270 __construct_array
00100810 __initialize_cpp_rts
0010E048 scePrintf
00110270 sceOpen
001104F8 sceClose
00113D50 _sceSifLoadModule
00113F78 sceSifLoadModule
00113F98 sceSifLoadStartModule
0011DE98 ceilf
0011EE50 sceCdNcmdDiskReady
0011F8F8 sceCdGetDiskType
00121A58 fopen
00123D00 memcpy
00123EB8 memset
00125120 printf
00125190 qsort
00126870 snprintf
00126998 sprintf
00126C48 strcasecmp
00126D20 strcat
00127240 strlen
00127378 strncasecmp
001277B8 strncpy
0012D118 __umoddi3
0012E980 main
0012EC00 CB3ControllerMapping::GetControllerDeadTime(void)
0012EC20 CB3ControllerMapping::WheelIsValid(void)
0012EC30 CB3ControllerMapping::PadIsValid(void)
0012EC60 CB3ControllerMapping::GetBoost(void)
0012EE60 CB3ControllerMapping::GetGearDown(void)
0012EF20 CB3ControllerMapping::GetGearUp(void)
0012EFE0 CB3ControllerMapping::GetHorn(void)
0012F0E0 CB3ControllerMapping::GetAftertouch(void)
0012F290 CB3ControllerMapping::GetSteering(void)
0012F440 CB3ControllerMapping::GetBrake(void)
0012F550 CB3ControllerMapping::GetAccelerator(void)
0012F720 CB3ControllerMapping::GetPadControl(EGtPS2DualShockDeviceControl,bool)
0012F980 CB3DebugManager::RenderPerfMonDataCallback(char const *,float,float,float,bool)
0012FCE0 CB3DebugManager::DrawVectorText(char const *,GtMathPs2::CGtV3d,GtMathPs2::CGtMatrix3x4 *,float,GtMathPs2::CGtV4d)
00130090 __ct__Q29GtMathPs26CGtV4d1
001300A0 CB3DebugManager::DrawCross(GtMathPs2::CGtV3d,float,GtMathPs2::CGtV4d)
001301B0 CB3DebugManager::DrawLine(CGtLine const &,GtMathPs2::CGtV4d)
00130320 CB3DebugManager::RenderWorld(void)
00130430 CB3DebugManager::Update(void)
00130560 CB3DebugManager::Prepare(void)
001305E0 CB3DebugManager::Construct(void)
00130650 CB3Im3dVertex::CB3Im3dVertex(void)
00130680 CB3FrontEnd::SetInitialMenu(ulong)
001306A0 CB3FrontEnd::Destruct(void)
00130950 CB3FrontEnd::Release(void)
00130AF0 CB3FrontEnd::Render(void)
00130BC0 CB3FrontEnd::Update(void)
00130C40 CB3FrontEnd::Prepare(void)
001311F0 CB3FrontEnd::Construct(void)
001312C0 CB3Game::Is2PlayerSplitScreen(void)
00131300 CB3Game::IsInChampionship(void)
00131380 CB3Game::IsCrashMode(void)
00131450 CB3Game::RequestNewGameMode(CB3GameMode *)
001314A0 CB3Game::IsTurnBasedCrash(void)
001314D0 CB3Game::UpdatePostSimulation(void)
00131600 CB3Game::UpdateSimulation(void)
001317A0 CB3Game::UpdatePreSimulation(void)
001319C0 CB3Game::Destruct(void)
00131B60 CB3Game::Update(void)
00132800 CB3Game::Prepare(void)
00132F20 CB3Game::Construct(void)
00133590 CB3StageLogic::GetAIMode(void)
00133710 CB3Game::~CB3Game(void)
001337A0 CB3GameMode::GetNumLaps(void)
001337B0 CB3GameMode::StartReplay(void)
001337D0 CB3GameMode::Release(void)
00133830 CB3GameMode::Update(void)
00133890 CB3GameMode::Prepare(void)
00133A90 CB3GameMode::Construct(void)
00133BD0 CB3OnePlayerStage::Render(void)
001341C0 CB3OnePlayerStage::Update(void)
001342C0 CB3OnePlayerStage::Prepare(void)
00134730 CB3OnlineStage::Update(void)
00134920 CB3OnlineStage::Prepare(void)
00134C70 CB3Player::ResetLastInputTime(void)
00134D20 CB3Player::Prepare(void)
00134D70 CB3Player::Construct(void)
00134DB0 CB3ProfileManager::Prepare(void)
00137BD0 CB3Profile::Evaluate(void)
00137F80 CB3Profile::IsCarUnlocked(ulong)
00137FF0 CB3Profile::IsTrackUnlocked(ulong)
00138300 CB3Profile::IsChallengeLocked(int,bool)
001388C0 CB3Profile::GetTakeDownTotal(ulong,bool)
00138A80 CB3Profile::GetCrashDamageTotal(void)
00138A90 CB3Profile::GetBurnoutPointTotal(void)
001398A0 CB3TwoPlayerSplitScreenStage::Update(void)
00139950 CB3TwoPlayerSplitScreenStage::Prepare(void)
00139B20 CB3AsyncDataLoader::Abort(uint)
00139C70 CB3AsyncDataLoader::QueueLoadRequest(char const *,bool *,void *,uint)
0013A190 CB3AsyncDataLoader::Construct(void)
0013EA30 CB3AICar::UpdateAICheckpoint(void)
0013EC10 CB3AICar::UpdateOutOfRange(void)
001407D0 CB3AICar::Release(void)
00140810 CB3AICar::Update(void)
001409A0 CB3AICar::Prepare(void)
00140B60 CB3AICar::Construct(int)
001415D0 CB3AIDriver::GenerateProfile(void)
00141940 CB3AIDriver::CalcDifficultyIndex(void)
001425A0 CB3AIDriver::Release(void)
001425D0 CB3AIDriver::Update(void)
00142840 CB3AIDriver::Prepare(void)
0014A990 CB3Burn::SetNumExtraBoostBarSegments(int)
0014AE70 CB3Burn::Prepare(EB3BoostBarSize)
0014AF60 CB3Burn::Construct(void)
0014B1A0 CB3GameData::GetGameDataThreshold(float *,float *,float *)
0014B1D0 CB3GameData::GetNumLaps(void)
0014B1F0 CB3GameData::GetNumSplitTimeCheckpoints(void)
0014B210 CB3GameData::GetNumStartLines(void)
0014B230 CB3GameData::Draw(int)
0014B530 CB3GameData::SetStageID(ulong)
0014B540 CB3GameData::SetGameDataFileName(char *)
0014B580 CB3GameData::Destruct(void)
0014B690 CB3GameData::Release(void)
0014B820 CB3GameData::Update(void)
0014B910 CB3GameData::Prepare(void)
0014C770 CB3GameData::Construct(void)
0014C900 CB3NetworkCar::Release(void)
0014C920 CB3NetworkCar::Prepare(void)
0014CA40 CB3NetworkCar::Construct(int)
0014CA80 CB3PlayerCar::SetAIControlled(bool)
0014CAE0 CB3PlayerCar::StopCrashing(void)
0014CC90 CB3PlayerCar::PrepareSound(void)
0014CD00 CB3PlayerCar::Release(void)
0014CD10 CB3PlayerCar::Update(void)
0014CDE0 CB3PlayerCar::Prepare(EPlayerCarIndex)
0014CEA0 CB3PlayerCar::Construct(EPlayerCarIndex)
0014D0F0 CB3RaceCar::Register(void)
0014D2D0 CB3RaceCar::SetCarID(ulong)
0014D830 CB3RaceCar::RepositionCarInLane(void)
0014DDE0 CB3RaceCar::SetFinished(EB3ScoreFinishState)
0014DFF0 CB4RaceCar::Draw(void)
0014E200 CB4RaceCar::Release(void)
0014EC10 CB3RaceCar::Update(void)
0014EF00 CB3RaceCar::Prepare(void)
0014F510 CB3RaceCar::Construct(void)
0014F570 CB3RacePosition::DrawPositionMarker(GtMathPs2::CGtV3d,ushort const *,int,CB3RaceCar *,CB3RaceCar *,float,bool,bool,bool,float)
00150310 CB3RacePosition::DrawSingleVehicleValue(CB3VehiclePhysics *,int,int,float,bool)
001504A0 CB3RacePosition::DrawTrafficValues(void)
001505B0 CB3RacePosition::Draw(int)
00151180 CB3ReplaySystem::NextFrame(CDrivingControls *,bool)
00151360 CB3ReplaySystem::Construct(void)
00151420 CB3Score::OnTakeDown(CB3RaceCar *)
00151A20 CB3Score::SetFinished(EB3ScoreFinishState)
00151D80 CB3Score::AddScore(int,int)
00155AE0 CB3Score::IncrementLapCount(void)
00155E80 CB3Score::GetRaceCheckpointTime(int)
001564A0 CB3Score::Release(void)
001564F0 CB3Score::Update(void)
001572B0 CB3Score::Prepare(void)
00157810 CB3FinishedScore::Prepare(int)
001578D0 CB3Score::Construct(void)
00159150 CB3SplitTimeCheckpoint::DrawCheckpoint(CGtTexture *,GtMathPs2::CGtV4d)
001593F0 CB3SplitTimeCheckpoint::Draw(void)
00159530 CB3StartFinishLine::Draw(int)
0015B400 CB3TrafficParam::CalcFormationSpeedChange(void)
0015B8A0 CB3TrafficParam::GetParamInfoFromSplitter(CB3TrafficLane *,int)
0015BAC0 CB3TrafficParam::ResetMemberVariables(void)
0015BF50 CB3TrafficParam::RemoveFromTrafficLights(void)
0015BFE0 CB3TrafficParam::Remove(void)
0015CA30 CB3TrafficParam::CalcSpeed(int,bool,bool)
0015DD70 CB3TrafficParam::Update(bool)
0015E180 CB3TrafficSystem::ResetMemberVariables(void)
0015E540 CB3TrafficSystem::UseNextTriggerData(float)
0015EBE0 CB3TrafficSystem::AddToDeadTrafficParamList(CB3TrafficParam *)
0015ECA0 CB3TrafficSystem::AddToDeadTrafficList(CB3TrafficVehicle *,bool)
0015F320 CB3TrafficSystem::UpdateHulls(int,float,int)
0015F790 CB3TrafficSystem::Generate(ETrafficVehicleCategories,ulong,ETrafficVehicleCategories,ulong,CB3TrafficLane *,float,float,float,uchar,uchar,uchar)
00160D90 CB3TrafficSystem::GenerateInitialTraffic(CB3StartFinishLine *,int)
00161450 CB3TrafficSystem::Update(void)
00161D00 CB3TrafficSystem::Release(void)
00161EB0 CB4TrafficSystem::Prepare(void)
00162A90 CB3TrafficSystem::Construct(void)
00162C00 CB3TrafficVehicle::StartCrashing(void)
00163760 CB3TrafficVehicle::DoTrafficBehaviour(CB3TrafficRaceCarInfo *,int)
00163980 CB3TrafficVehicle::ChangeLane(CB3TrafficLane *,float)
00163B20 CB3TrafficVehicle::CheckForChangeLane(void)
00163F80 CB3TrafficVehicle::RemoveFromLanes(void)
001658B0 CB3TrafficVehicle::InitalisePosition(void)
00165C90 CB3TrafficVehicle::Remove(void)
00166180 CB3TrafficVehicle::Create(ETrafficVehicleCategories,uchar)
001664C0 CB3TrafficVehicle::Update(CB3TrafficRaceCarInfo *,int)
001677C0 CB3World::RenderRaceCars(int,int)
00167AF0 CB3World::UpdateSound(void)
00167B30 CB3World::SetTrackID(ulong)
00167BE0 CB3World::SetCarNumbers(int,int,int)
00167EE0 CB3World::Destruct(void)
00167FF0 CB3World::Release(void)
00168240 CB3World::UpdateTrack(void)
001682B0 CB3World::Update(void)
001684D0 CB3World::Prepare(bool)
00168D80 CB3World::Construct(void)
001690A0 CB3TrailEmitterData::CB3TrailEmitterData(void)
001690B0 GtMathPs2::CGtV3d::CGtV3d(void)
001690C0 GtMathPs2::CGtMatrix3x3::CGtMatrix3x3(void)
001690D0 CB3WrongWayWall::Render(void)
00169160 CB3WrongWayWall::Update(CB3RaceCar *)
0016A9F0 CB3GraphicsManagerBase::DrawBootLoadingScreen(float)
0016AEB0 CB3GraphicsManagerBase::SetViewportsSinglePlayer(void)
0016AF40 CB3GraphicsManagerBase::SetDefaultLODSwitchDistances(void)
0016AF80 CB3GraphicsManagerBase::CloseViewport(void)
0016AFC0 CB3GraphicsManagerBase::AttachCameraToViewport(EB3ViewportSelection,CGtCamera *)
0016B010 CB3GraphicsManagerBase::UpdateViewport(EB3ViewportSelection)
0016B380 CB3GraphicsManagerBase::Construct(void)
0016B710 CB3HUDComponent::AdjustScalingForSplitScreen(void)
0016B7F0 CB3HUDComponent::UpdateTransition(float,bool,EHUDMode,EHUDMode)
0016B9D0 CB3HUDComponent::Prepare(int,int,int,EPlayerCarIndex,EHUDAlign,int)
0016C350 CB3HUDManager::AddComponent(CB3HUDComponent *,int,int,int,int)
0016C3E0 CB3HUD::SetHUDMode(EHUDMode)
0016C5E0 CB3HUD::GetAlignPos(EHUDAlign)
0016C6C0 CB3HUD::Update(float)
0016C880 CB3HUDManager::SetNumPlayers(int)
0016CA70 CB3HUDManager::PrepareCrashComponents(void)
0016CBA0 CB3HUDManager::PrepareNormalComponents(void)
0016D200 CB3HUDManager::PrepareScoreList(void)
0016D230 CB3HUDManager::Prepare(void)
0016D610 CB3HUDManager::Construct(void)
0016DA10 CB3HUDScore::UpdateScoreObject(float)
0016DFD0 CB3HUDScore::Update(float)
0016E010 CB3HUDScore::UpdateMessageGeneric(CB3HUDScore::CScoreMessage *,CB3HUDPrimaryMessage::EMessageType,int,const ushort *,float)
0016E700 CB3HUDScore::UpdateSmallMessage(float)
0016F690 CB3HUDScore::Prepare(int,EHUDAlign,int,int)
0016FAC0 CB3HUDSpeedo::Update(float)
0016FBB0 CB3HUDSpeedo::Prepare(EPlayerCarIndex,EHUDAlign,int)
0016FE00 CB3HUDBoostBar::UpdateTransition(float,bool,EHUDMode,EHUDMode)
00170480 CB3HUDBoostBar::UpdateBoostMessage(CB3HUDBoostBar::EMessageType,CB3ScoreCategory const *,float,float)
001707B0 CB3HUDBoostBar::BarUpdate(float)
00170EF0 CB3HUDBoostBar::Prepare(int,EHUDAlign,int,bool,CB3HUDHeading *const)
00171370 C2dObjectBoostBarMessage::Render(CGt2dObject::CGt2dObjectSpace const &,void const *)
00174070 CB3CollidingBody::ClearAccumulatedValues(void)
00174650 CB3CollidingBody::SetInitialMatrix(GtMathPs2::CGtMatrix3x4 const &)
