00100008 start
00100240 mwInit
00100270 __construct_array
00100810 __initialize_cpp_rts
00102E08 sceGsSyncV
00108120 _pictureCodingExtension
00108470 _quantMatrixExtension
00108538 _pictureDisplayExtension
0010B148 _sequenceExtension
0010BB00 AddIntcHandler
0010BB20 RemoveIntcHandler
0010C1E0 sceSifSetDma
0010E048 scePrintf
0010E608 sceSifSendCmd
0010E880 sceSifInitRpc
00110270 sceOpen
001104F8 sceClose
001108B0 sceRead
001130B0 sceSifAllocIopHeap
00113218 sceSifFreeIopHeap
00113B50 sceSifSearchModuleByAddress
00113BE0 sceSifSearchModuleByName
00113D10 sceSifLoadModuleBuffer
00113D50 _sceSifLoadModule
00113F78 sceSifLoadModule
00113F98 sceSifLoadStartModule
00114108 sceSifGetIopAddr
001142D8 sceSifResetIop
00114458 sceSifSyncIop
001144A8 sceSifRebootIop
0011DE98 ceilf
0011E220 tanf
0011E858 sceCdPOffCallback
0011EE50 sceCdNcmdDiskReady
0011F218 sceCdInit
0011F6F0 sceCdDiskReady
0011F8F8 sceCdGetDiskType
00121C00 fopen
00123EA8 memcpy
00124060 memset
001252C8 printf
00125338 qsort
00126A18 snprintf
00126B40 sprintf
00126DF0 strcasecmp
00126EC8 strcat
001273E8 strlen
00127520 strncasecmp
00127960 strncpy
0012CD40 __udivdi3
0012D2C0 __umoddi3
0012EB30 main
0012EF00 CB3ControllerMapping::GetControllerDeadTime(void)
0012EF20 CB3ControllerMapping::WheelIsValid(void)
0012EF50 CB3ControllerMapping::PadIsValid(void)
0012F160 CB3ControllerMapping::GetBoost(void)
0012F460 CB3ControllerMapping::GetMusicTrackSkip(void)
0012F4E0 CB3ControllerMapping::GetGearDown(void)
0012F610 CB3ControllerMapping::GetGearUp(void)
0012F6B0 CB3ControllerMapping::GetHorn(void)
0012F720 CB3ControllerMapping::GetAftertouch(void)
0012F850 CB3ControllerMapping::GetSteering(void)
0012F970 CB3ControllerMapping::GetBrake(void)
0012FA40 CB3ControllerMapping::GetAccelerator(void)
0012FB50 CB3ControllerMapping::IsControlJustPressed(EGtPS2DualShockDeviceControl)
0012FC30 CB3ControllerMapping::GetPadControl(EGtPS2DualShockDeviceControl,bool)
00130030 CB3DebugManager::RenderPerfMonDataCallback(char const *,float,float,float,bool)
00130390 CB3DebugManager::DrawVectorText(char const *,GtMathPs2::CGtV3d,GtMathPs2::CGtMatrix3x4 *,float,GtMathPs2::CGtV4d)
00130740 __ct__Q29GtMathPs26CGtV4d1
00130750 CB3DebugManager::DrawLine(CGtLine const &,GtMathPs2::CGtV4d)
001308B0 CB3DebugManager::RenderWorld(void)
001309C0 CB3DebugManager::Update(void)
00130B00 CB3DebugManager::Prepare(void)
00130B80 CB3DebugManager::Construct(void)
00130BF0 CB3Im3dVertex::CB3Im3dVertex(void)
00130C20 CB3FrontEnd::SetInitialMenu(ulong)
00130C40 CB3FrontEnd::Destruct(void)
00130D50 CB3VideoManager::PrepareVideo(void)
00131100 CB3FrontEnd::Release(void)
001312D0 CB3FrontEnd::Render(void)
001313C0 CB3FrontEnd::Update(void)
00131480 CB3FrontEnd::Prepare(void)
00131990 CB3FrontEnd::Construct(void)
00131AC0 CB3Game::RenderMenuPage(void)
00131CB0 CB3Game::Is2PlayerSplitScreen(void)
00131CF0 CB3Game::IsInChampionship(void)
00131E50 CB3Game::IsCrashMode(void)
00131F20 CB3Game::RequestNewGameMode(CB3GameMode *)
00131F70 CB3Game::IsTurnBasedCrash(void)
00131FA0 CB3Game::UpdatePostSimulation(void)
001320A0 CB3Game::UpdatePreSimulation(void)
001322C0 CB3Game::ResetGameMode(void)
00132430 CB3Game::Destruct(void)
00132610 CB3Game::Update(void)
001331A0 CB3Game::Prepare(void)
00133BC0 CB3Game::Construct(void)
00134350 CB3StageLogic::GetAIMode(void)
001343E0 CB3StageLogic::OnPlayerCarDeath(void)
001344E0 CB3Game::~CB3Game(void)
001345E0 CB3GameMode::GetNumLaps(void)
001345F0 CB3GameMode::StartReplay(void)
00134610 CB3GameMode::Release(void)
00134670 CB3GameMode::Update(void)
001346D0 CB3GameMode::Prepare(void)
00134920 CB3GameMode::Construct(void)
00134950 CB3OnePlayerStage::StartReplay(void)
00134A30 CB3OnePlayerStage::Render(void)
00135190 CB3OnePlayerStage::Update(void)
00135290 CB3OnePlayerStage::Prepare(void)
00135630 CB3OnlineStage::Update(void)
00135750 CB3OnlineStage::Prepare(void)
00135AA0 CB3Player::ResetLastInputTime(void)
00135B00 CB3Player::Prepare(void)
00135B50 CB3Player::Construct(void)
001364C0 CB3ProfileManager::Prepare(void)
00136E10 CB3ProfileManager::Construct(void)
00139C10 CB3Profile::Evaluate(void)
00139F30 CB3MyBurnoutPage::PrepareStats(void)
0013A670 CB3Profile::IsCarUnlocked(ulong)
0013A770 CB3Profile::IsTrackUnlocked(ulong)
0013AD80 CB3Profile::IsChallengeLocked(int,bool)
0013B210 CB3Profile::GetTakeDownTotal(ulong,bool)
0013B580 CB3Profile::GetCrashDamageTotal(void)
0013B670 CB3Profile::GetBurnoutPointTotal(void)
0013CBD0 CB3TwoPlayerSplitScreenStage::Update(void)
0013CC80 CB3TwoPlayerSplitScreenStage::Prepare(void)
0013CE30 CB3AsyncDataLoader::Abort(uint)
0013CFB0 CB3AsyncDataLoader::QueueLoadRequest(char const *,bool *,void *,uint)
0013D4E0 CB3AsyncDataLoader::Construct(void)
00142210 CB3AICar::UpdateAICheckpoint(void)
001423F0 CB3AICar::UpdateOutOfRange(void)
00143AE0 CB3AICar::Release(void)
00143B20 CB3AICar::Update(void)
00143CF0 CB3AICar::Prepare(void)
00143E90 CB3AICar::Construct(int)
00144980 CB3AIDriver::GenerateProfile(void)
00144D10 CB3AIDriver::CalcDifficultyIndex(void)
001459F0 CB3AIDriver::Release(void)
00145A20 CB3AIDriver::Update(void)
00145D20 CB3AIDriver::Prepare(void)
0014E000 CB3Burn::SetNumExtraBoostBarSegments(int)
0014E3B0 CB3Burn::Update(CB3RaceCar *)
0014E510 CB3Burn::Prepare(EB3BoostBarSize)
0014E600 CB3Burn::Construct(void)
0014E840 CB3GameData::GetGameDataThreshold(float *,float *,float *)
0014E890 CB3GameData::GetNumSplitTimeCheckpoints(void)
0014E8B0 CB3GameData::GetNumStartLines(void)
0014E8D0 CB3GameData::Draw(int)
0014EBD0 CB3GameData::SetStageID(ulong)
0014EBE0 CB3GameData::SetGameDataFileName(char *)
0014ECC0 CB3GameData::Destruct(void)
0014EDE0 CB3GameData::Release(void)
0014EF70 CB3GameData::Update(void)
0014F060 CB3GameData::Prepare(void)
0014FF80 CB3GameData::Construct(void)
00150110 CB3NetworkCar::Release(void)
00150130 CB3NetworkCar::Prepare(void)
00150250 CB3NetworkCar::Construct(int)
00150290 CB3PlayerCar::SetAIControlled(bool)
00150310 CB3PlayerCameraManager::GetCurrentUnit(void)
00150650 CB3PlayerCar::StopCrashing(void)
00150830 CB3PlayerCar::PrepareSound(void)
001508A0 CB3PlayerCar::Release(void)
001508D0 CB3PlayerCar::Update(void)
00150BF0 CB3PlayerCar::Prepare(EPlayerCarIndex)
00150CC0 CB3PlayerCar::Construct(EPlayerCarIndex)
00150F30 CB3RaceCar::Register(void)
00151110 CB3RaceCar::SetCarID(ulong)
00151170 CB3RaceCar::RepositionCarInLane(void)
00151790 CB3RaceCar::SetFinished(EB3ScoreFinishState)
00151A50 CB3RaceCar::Draw(void)
00151C50 CB3RaceCar::Release(void)
00152780 CB3RaceCar::Update(void)
00152B00 CB3RaceCar::Prepare(void)
00153170 CB3RaceCar::Construct(void)
001531D0 CB3RacePosition::DrawPositionMarker(GtMathPs2::CGtV3d,ushort const *,int,CB3RaceCar *,CB3RaceCar *,float,bool,bool,bool,float)
001540A0 CB3RacePosition::DrawSingleVehicleValue(CB3VehiclePhysics *,int,int,float,bool)
00154230 CB3RacePosition::DrawTrafficValues(void)
00154350 CB3RacePosition::Draw(int)
00155020 CB3ReplaySystem::NextFrame(CDrivingControls *,bool)
00155210 CB3ReplaySystem::Construct(void)
001553F0 CB3Score::OnTakeDown(CB3RaceCar *)
00155A40 CB3Score::SetFinished(EB3ScoreFinishState)
00156260 CB3Score::AddScore(int,int)
0015A1F0 CB3Score::IncrementLapCount(void)
0015A750 CB3Score::GetRaceCheckpointTime(int)
0015AFC0 CB3Score::Release(void)
0015B000 CB3Score::Update(void)
0015C340 CB3Score::Prepare(void)
0015C9A0 CB3FinishedScore::Prepare(int)
0015CAC0 CB3Score::Construct(void)
0015E340 CB3SplitTimeCheckpoint::DrawCheckpoint(CGtTexture *,GtMathPs2::CGtV4d)
0015E5E0 CB3SplitTimeCheckpoint::Draw(void)
0015E720 CB3StartFinishLine::Draw(int)
001605C0 CB3TrafficParam::CalcFormationSpeedChange(void)
00160A60 CB3TrafficParam::GetParamInfoFromSplitter(CB3TrafficLane *,int)
00160E50 CB3TrafficParam::ResetMemberVariables(void)
00161310 CB3TrafficParam::RemoveFromTrafficLights(void)
001613B0 CB3TrafficParam::Remove(void)
00161B50 CB3TrafficParam::CalcSpeed(int,bool,bool)
00162E80 CB3TrafficParam::Update(bool)
001631F0 CB3TrafficSystem::VehicleIsValid(uchar)
001632C0 CB3TrafficSystem::ResetMemberVariables(void)
00163700 CB3TrafficSystem::UseNextTriggerData(float)
00163DD0 CB3TrafficSystem::AddToDeadTrafficParamList(CB3TrafficParam *)
00163E90 CB3TrafficSystem::AddToDeadTrafficList(CB3TrafficVehicle *,bool)
001645E0 CB3TrafficSystem::UpdateHulls(int,float,int)
00164A50 CB3TrafficSystem::Generate(ETrafficVehicleCategories,ulong,ETrafficVehicleCategories,ulong,CB3TrafficLane *,float,float,float,uchar,uchar,uchar)
00165A40 CB3TrafficSystem::GenerateInitialTraffic(CB3StartFinishLine *,int)
00166160 CB3TrafficSystem::Update(void)
00166DB0 CB3TrafficSystem::Release(void)
00166F50 CB3TrafficSystem::Prepare(void)
00167B90 CB3TrafficSystem::Construct(void)
00167D10 CB3TrafficVehicle::StartCrashing(void)
001717D0 CB3TrafficVehicle::DoTrafficBehaviour(CB3TrafficRaceCarInfo *,int)
00171A00 CB3TrafficVehicle::ChangeLane(CB3TrafficLane *,float)
00171BA0 CB3TrafficVehicle::CheckForChangeLane(void)
00172000 CB3TrafficVehicle::RemoveFromLanes(void)
00172E40 CB3TrafficVehicle::UpdatePosition(void)
00173950 CB3TrafficVehicle::InitalisePosition(void)
00173D30 CB3TrafficVehicle::Remove(void)
001864F0 CB3TrafficVehicle::Create(ETrafficVehicleCategories,uchar)
00186850 CB3TrafficVehicle::Update(CB3TrafficRaceCarInfo *,int)
00199A20 CB3World::RenderRaceCars(int,int)
00199DC0 CB3World::UpdateSound(void)
00199E00 CB3World::SetTrackID(ulong)
00199EB0 CB3World::SetCarNumbers(int,int,int)
0019A1D0 CB3World::Destruct(void)
0019A2E0 CB3World::Release(void)
0019A550 CB3World::Update(void)
0019A950 CB3World::Prepare(bool)
0019B380 CB3World::Construct(void)
0019B6B0 CB3TrailEmitterData::CB3TrailEmitterData(void)
0019B6C0 GtMathPs2::CGtV3d::CGtV3d(void)
0019B6D0 GtMathPs2::CGtMatrix3x3::CGtMatrix3x3(void)
0019B6E0 CB3WrongWayWall::Render(void)
0019C120 CB3WrongWayWall::Update(CB3RaceCar *)
0019DD00 CB3GraphicsManagerBase::DrawBootLoadingScreen(float)
0019E8C0 CB3GraphicsManagerBase::SetViewportFullScreen(int)
0019E990 CB3GraphicsManagerBase::SetViewportsSinglePlayer(void)
0019E9A0 CB3GraphicsManagerBase::SetDefaultLODSwitchDistances(void)
0019EA30 CB3GraphicsManagerBase::CloseViewport(void)
0019EA70 CB3GraphicsManagerBase::AttachCameraToViewport(EB3ViewportSelection,CGtCamera *)
0019EAC0 CB3GraphicsManagerBase::UpdateViewport(EB3ViewportSelection)
0019EBF0 CB3GraphicsManagerBase::Prepare(void)
0019EE40 CB3GraphicsManagerBase::Construct(void)
0019F200 CB3GraphicsManagerBase::DestructViewports(void)
0019F240 CB3GraphicsManagerBase::ConstructViewports(void)
0019F3D0 CB3HUDComponent::AdjustScalingForSplitScreen(void)
0019F4B0 CB3HUDComponent::UpdateTransition(float,bool,EHUDMode,EHUDMode)
0019F6A0 CB3HUDComponent::Prepare(int,int,int,EPlayerCarIndex,EHUDAlign,int)
001A0020 CB3HUDManager::AddComponent(CB3HUDComponent *,int,int,int,int)
001A00B0 CB3HUD::SetHUDMode(EHUDMode)
001A02C0 CB3HUD::GetAlignPos(EHUDAlign)
